City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
144,Cururupu,BR,2022-02-02 21:46:50,-1.8283,-44.8683,74.71,94,99,3.36
145,Shenzhen,CN,2022-02-02 21:46:17,22.5455,114.0683,60.84,99,100,10.13
146,The Valley,AI,2022-02-02 21:48:47,18.217,-63.0578,82.26,69,75,11.5
147,Moron,AR,2022-02-02 21:48:48,-34.6534,-58.6198,91.02,50,64,9.6
148,Ancud,CL,2022-02-02 21:46:41,-41.8697,-73.8203,70.23,76,96,7.07
149,Pimampiro,EC,2022-02-02 21:48:48,0.4,-77.9667,72.23,63,83,3.67
150,At-Bashi,KG,2022-02-02 21:48:48,41.1702,75.8106,3.83,89,100,1.66
151,Pinheiro Machado,BR,2022-02-02 21:48:49,-31.5783,-53.3811,80.06,74,0,14.5
152,Marzuq,YE,2022-02-02 21:48:49,14.4,46.4667,64.09,48,94,4.38
153,Coihaique,CL,2022-02-02 21:48:50,-45.5752,-72.0662,66.15,55,75,8.05
154,Harper,LR,2022-02-02 21:44:00,4.375,-7.7169,79.2,79,84,7.05
155,Thompson,CA,2022-02-02 21:48:50,55.7435,-97.8558,-9.24,54,20,14.97
156,Mandalgovi,MN,2022-02-02 21:48:51,45.7625,106.2708,-0.31,79,2,10.0
157,Berlevag,NO,2022-02-02 21:48:51,70.8578,29.0864,19.2,93,75,8.05
158,Belyy Yar,RU,2022-02-02 21:48:51,53.6039,91.3903,-20.31,76,75,4.47
159,Cabo San Lucas,MX,2022-02-02 21:45:34,22.8909,-109.9124,78.62,54,20,3.0
160,Port Elizabeth,ZA,2022-02-02 21:48:52,-33.918,25.5701,72.1,100,75,13.8
161,Gimli,CA,2022-02-02 21:47:27,50.6336,-96.9907,-5.87,49,95,9.22
162,Komsomolskiy,UZ,2022-02-02 21:46:12,40.4272,71.7189,39.92,81,75,4.61
163,Puri,IN,2022-02-02 21:48:53,19.8,85.85,70.32,75,16,10.78
164,Te Anau,NZ,2022-02-02 21:48:53,-45.4167,167.7167,60.03,88,100,2.89
165,Hay River,CA,2022-02-02 21:48:53,60.8156,-115.7999,-13.02,70,20,2.3
166,Georgetown,MY,2022-02-02 21:48:54,5.4112,100.3354,80.53,90,20,0.0
167,Bandarbeyla,SO,2022-02-02 21:48:54,9.4942,50.8122,74.71,73,16,16.69
168,Chara,RU,2022-02-02 21:48:54,56.9064,118.2631,-24.41,86,45,1.05
169,Labuhan,ID,2022-02-02 21:48:55,-6.8844,112.2051,77.63,86,100,5.12
170,Lavrentiya,RU,2022-02-02 21:48:55,65.5833,-171.0,0.23,69,0,22.32
171,San Borja,BO,2022-02-02 21:48:55,-14.8167,-66.85,79.23,84,88,2.59
172,Lebu,CL,2022-02-02 21:48:56,-37.6167,-73.65,63.72,79,45,11.01
173,San Quintin,MX,2022-02-02 21:48:56,30.4833,-115.95,61.68,55,0,11.18
174,Port Lincoln,AU,2022-02-02 21:45:13,-34.7333,135.8667,63.91,72,19,15.55
175,Shingu,JP,2022-02-02 21:44:14,33.7333,135.9833,43.92,74,98,5.21
176,Fuerte Olimpo,PY,2022-02-02 21:48:58,-21.0415,-57.8738,91.6,44,47,9.48
177,Oron,NG,2022-02-02 21:48:58,4.8256,8.2343,80.06,76,1,3.69
178,Kaspiysk,RU,2022-02-02 21:48:58,42.8816,47.6392,37.58,93,57,13.0
179,Srivardhan,IN,2022-02-02 21:48:59,18.0333,73.0167,68.74,73,4,6.62
180,Klaksvik,FO,2022-02-02 21:48:31,62.2266,-6.589,41.92,77,100,13.27
181,Villarrica,PY,2022-02-02 21:49:59,-25.75,-56.4333,96.42,27,70,8.5
182,Vardo,NO,2022-02-02 21:49:59,70.3705,31.1107,28.38,86,75,14.97
183,Aktau,KZ,2022-02-02 21:50:00,43.65,51.2,36.18,78,75,17.58
184,Ribeira Grande,PT,2022-02-02 21:50:01,38.5167,-28.7,61.2,72,40,13.8
185,Jizan,SA,2022-02-02 21:50:02,17.3333,42.6667,79.74,74,16,3.98
186,Port Hardy,CA,2022-02-02 21:50:02,50.6996,-127.4199,37.58,93,100,10.36
187,Talcahuano,CL,2022-02-02 21:50:03,-36.7167,-73.1167,65.88,68,0,11.5
188,Kurilsk,RU,2022-02-02 21:50:03,45.2333,147.8833,22.46,71,99,18.45
189,Lorengau,PG,2022-02-02 21:50:04,-2.0226,147.2712,79.75,80,100,11.45
190,Olafsvik,IS,2022-02-02 21:50:04,64.8945,-23.7142,30.33,55,98,6.91
191,Barcelos,PT,2022-02-02 21:50:04,41.5388,-8.6151,54.91,78,93,4.54
192,Sitka,US,2022-02-02 21:50:05,57.0531,-135.33,37.29,93,100,5.75
193,Nantucket,US,2022-02-02 21:50:05,41.2835,-70.0995,43.14,94,100,9.91
194,Sistranda,NO,2022-02-02 21:50:06,63.7256,8.834,31.96,73,92,19.26
195,Avera,US,2022-02-02 21:50:06,33.194,-82.5271,65.08,75,91,3.51
196,Blackburn,GB,2022-02-02 21:50:06,53.75,-2.4833,48.18,94,100,7.0
197,Linxia,CN,2022-02-02 21:50:07,35.6003,103.2064,13.08,86,57,3.15
198,Baykit,RU,2022-02-02 21:50:07,61.67,96.37,-0.04,99,100,1.92
199,Rock Hill,US,2022-02-02 21:48:32,34.9249,-81.0251,58.64,37,20,4.61
200,Inuvik,CA,2022-02-02 21:50:08,68.3499,-133.7218,-21.96,72,40,3.44
201,San Francisco Del Mar,MX,2022-02-02 21:50:08,16.2333,-94.65,80.15,73,13,13.47
202,Voh,NC,2022-02-02 21:50:09,-20.9667,164.7,85.64,60,14,2.37
203,Springhill,US,2022-02-02 21:50:09,33.006,-93.4668,66.09,69,100,2.01
204,Zaraza,VE,2022-02-02 21:50:10,9.3503,-65.3245,84.47,52,96,10.38
205,Sao Joao Da Barra,BR,2022-02-02 21:50:10,-21.6403,-41.0511,77.09,89,100,7.36
206,Rundu,NA,2022-02-02 21:50:11,-17.9333,19.7667,68.63,61,42,3.85
207,Aswan,EG,2022-02-02 21:50:11,24.0934,32.907,60.1,38,0,8.05
208,Kavaratti,IN,2022-02-02 21:50:12,10.5669,72.642,79.52,72,7,10.6
209,Khatanga,RU,2022-02-02 21:50:12,71.9667,102.5,-36.9,98,47,1.25
210,Taitung,TW,2022-02-02 21:50:13,22.7583,121.1444,68.31,83,90,6.51
211,Kodiak,US,2022-02-02 21:50:13,57.79,-152.4072,36.91,93,100,0.0
212,Jardim,BR,2022-02-02 21:50:14,-21.4803,-56.1381,81.03,72,71,5.59
213,Kamphaeng Phet,TH,2022-02-02 21:50:14,16.25,99.5,72.55,52,21,3.31
214,San Patricio,US,2022-02-02 21:50:14,28.017,-97.5169,81.28,70,94,14.38
215,Los Alamos,US,2022-02-02 21:50:14,35.8881,-106.307,29.79,84,100,8.99
216,Broome,US,2022-02-02 21:50:15,42.2506,-75.833,41.45,69,0,1.99
217,New Norfolk,AU,2022-02-02 21:50:15,-42.7826,147.0587,59.72,58,68,4.21
218,Powell,US,2022-02-02 21:50:16,40.1578,-83.0752,40.64,94,100,10.51
219,Nizhniy Tagil,RU,2022-02-02 21:50:16,57.9194,59.965,18.16,91,64,5.19
220,Qasigiannguit,GL,2022-02-02 21:50:17,68.8193,-51.1922,-11.22,66,57,12.1
221,Saldanha,ZA,2022-02-02 21:50:17,-33.0117,17.9442,66.25,86,79,6.91
222,Kloulklubed,PW,2022-02-02 21:45:57,7.0419,134.2556,79.3,78,100,18.7
223,Kokkola,FI,2022-02-02 21:50:18,63.8385,23.1307,11.93,88,95,3.44
224,Dakar,SN,2022-02-02 21:45:33,14.6937,-17.4441,81.48,41,72,6.91
225,Muros,ES,2022-02-02 21:50:18,42.7762,-9.0603,55.24,83,100,7.81
226,Seydi,TM,2022-02-02 21:51:19,39.4816,62.9137,42.8,57,0,6.17
227,Luganville,VU,2022-02-02 21:51:19,-15.5333,167.1667,83.77,75,61,1.95
228,Debre Sina,ET,2022-02-02 21:51:20,9.85,39.7667,51.1,79,100,4.32
229,Ilulissat,GL,2022-02-02 21:51:20,69.2167,-51.1,-8.41,57,85,16.4
230,Mount Gambier,AU,2022-02-02 21:51:21,-37.8333,140.7667,57.11,67,100,14.97
231,Antalaha,MG,2022-02-02 21:51:21,-14.9003,50.2788,75.34,81,100,3.87
232,Xiaoshi,CN,2022-02-02 21:51:22,41.2971,124.1209,-2.18,87,2,2.13
233,Shu,KZ,2022-02-02 21:50:23,43.5983,73.7614,33.33,62,100,5.99
