City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
195,Anadyr,RU,64.75,177.4833,5.5,61,0,2.24,clear sky
196,Vestmanna,FO,62.1564,-7.1664,31.12,80,75,6.91,broken clouds
197,Xuddur,SO,4.1213,43.8894,79.02,30,14,21.54,few clouds
198,Havre-Saint-Pierre,CA,50.2334,-63.5986,3.79,65,100,12.66,overcast clouds
199,Bernay,FR,49.1667,0.6667,38.91,88,42,4.0,scattered clouds
200,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.32,75,18,4.88,few clouds
201,Yerbogachen,RU,61.2767,108.0108,4.91,93,99,6.51,overcast clouds
202,Kemijarvi,FI,66.7131,27.4306,21.63,92,100,11.61,light snow
203,Pushkar,IN,26.5,74.55,64.26,34,0,7.67,clear sky
204,Do Gonbadan,IR,30.3586,50.7981,53.69,87,75,0.0,broken clouds
205,Lafia,NG,8.4833,8.5167,69.44,17,0,4.61,clear sky
206,Hualmay,PE,-11.0964,-77.6139,69.31,86,66,7.27,broken clouds
207,Kedougou,SN,12.5579,-12.1743,71.38,17,0,2.95,clear sky
208,Sobolevo,RU,54.4299,31.8996,3.52,100,100,8.43,overcast clouds
209,Pangnirtung,CA,66.1451,-65.7125,-26.64,99,100,0.29,overcast clouds
210,Grand Gaube,MU,-20.0064,57.6608,81.0,85,100,11.01,overcast clouds
211,Atar,MR,20.5169,-13.0499,67.08,12,34,6.24,scattered clouds
212,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.73,89,99,14.07,overcast clouds
213,Dunmore Town,BS,25.5,-76.65,74.59,60,1,13.02,clear sky
214,Palu,ID,-0.8917,119.8707,88.61,60,100,4.92,overcast clouds
215,Port Hardy,CA,50.6996,-127.4199,45.75,93,100,5.75,overcast clouds
216,Nagapattinam,IN,10.7667,79.8333,83.3,63,42,6.98,scattered clouds
217,Borovskoy,KZ,53.8,64.15,20.53,77,100,10.94,overcast clouds
218,Tyup,KG,42.7276,78.3648,22.12,70,14,1.23,few clouds
219,Palmer,US,42.1584,-72.3287,28.02,83,100,1.01,overcast clouds
220,Ayorou,NE,14.7308,0.9174,57.76,15,6,10.8,clear sky
221,Sokoni,TZ,-6.4333,39.55,75.54,87,100,11.14,light rain
222,Vestmannaeyjar,IS,63.4427,-20.2734,31.48,92,100,32.61,snow
