City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
924,San Andres,CO,80.62,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
925,Dhidhdhoo,MV,81.54,broken clouds,6.8833,73.1,Dhidhoo beach
933,Noumea,NC,84.18,moderate rain,-22.2763,166.4572,Hôtel Le Lagon
937,Innisfail,AU,79.3,light rain,-17.5333,146.0333,Moondarra Motel
943,Balaipungut,ID,81.01,moderate rain,1.05,101.2833,
947,Dzaoudzi,YT,87.69,broken clouds,-12.7887,45.2699,Le Rocher
949,Bartica,GY,75.52,broken clouds,6.4,-58.6167,Sloth Island Nature Resort
957,Chirongui,YT,87.73,few clouds,-12.9319,45.1483,La Villa Mahatsara
958,Kollam,IN,85.87,broken clouds,8.8833,76.6,Nani Hotels and Resorts
979,Naga,PH,78.87,overcast clouds,13.6192,123.1814,MOTOR Lodge MORAVILLE
981,Pandan,PH,78.94,overcast clouds,14.0453,124.1694,Bonifacio Lodge
997,La Primavera,CO,83.43,overcast clouds,5.4906,-70.4092,La Riviera Hotel Colonial
1006,Wajir,KE,80.31,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
1008,Kulhudhuffushi,MV,81.45,scattered clouds,6.6221,73.07,Haajy Guest House 1
1018,La Asuncion,VE,75.29,clear sky,11.0333,-63.8628,Colinas de Matasiete
1020,Manjacaze,MZ,82.6,broken clouds,-24.7117,33.8828,Hotel Gani
1026,Nhulunbuy,AU,88.41,light rain,-12.2333,136.7667,East Arnhem Real Estate
1031,Saint-Leu,RE,86.86,light rain,-21.15,55.2833,La Caz Oceane
1033,Miri,MY,87.94,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
1049,Cabedelo,BR,77.67,clear sky,-6.9811,-34.8339,Hotel Pigalle
1057,Gamba,GA,75.31,overcast clouds,-2.65,10.0,
1066,Beberibe,BR,80.17,broken clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
1072,Ugoofaaru,MV,81.45,scattered clouds,5.6667,73.0,Ungoofaaru Inn
1081,Najran,SA,77.65,clear sky,17.4924,44.1277,محمد هادي ال فطيح
1098,Yanam,IN,84.6,scattered clouds,16.7333,82.2167,The Regency Hotel
1101,Yenagoa,NG,75.97,clear sky,4.9247,6.2642,Aridolf Resort Wellness and Spa
1104,Gorontalo,ID,84.65,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
1108,Palanas,PH,80.49,broken clouds,12.1458,123.9216,PRIVADO ACCOMODATION AND RESERVATION SERVICES
1109,Kismayo,SO,81.61,broken clouds,-0.3582,42.5454,Agan-Hotel
1119,Vengurla,IN,79.75,few clouds,15.8667,73.6333,Golven Resort
1124,Mandera,KE,82.13,broken clouds,3.9366,41.867,Mwalimu Guest mandera
1128,Lufilufi,WS,78.58,overcast clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
1129,Mazagao,BR,77.05,light rain,-0.115,-51.2894,Recanto dos Ferreiras
1132,Vanimo,PG,83.7,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
1134,Sur,OM,77.43,clear sky,22.5667,59.5289,Sur Plaza Hotel
